Voltage(V),Discharge_Capacity(Ah)
4.200079918,0
4.190680504,1.32476E-08
4.186953068,1.32476E-08
4.186142445,1.32476E-08
4.185494423,1.32476E-08
4.185008049,1.32476E-08
4.184845924,1.32476E-08
4.184522152,1.32476E-08
4.184035778,1.32476E-08
4.184197903,1.32476E-08
4.184035778,1.32476E-08
4.183711529,1.32476E-08
4.183549404,1.32476E-08
4.183387756,1.32476E-08
4.183549404,1.32476E-08
4.183225632,1.32476E-08
4.183063507,1.32476E-08
4.183063507,1.32476E-08
4.182901382,1.32476E-08
4.182901382,1.32476E-08
4.182577133,1.32476E-08
4.182577133,1.32476E-08
4.182577133,1.32476E-08
4.182577133,1.32476E-08
4.182415009,1.32476E-08
4.182415009,1.32476E-08
4.182415009,1.32476E-08
4.182253361,1.32476E-08
4.182253361,1.32476E-08
4.182253361,1.32476E-08
4.182091236,1.32476E-08
4.182091236,1.32476E-08
4.181929111,1.32476E-08
4.181929111,1.32476E-08
4.181929111,1.32476E-08
4.181766987,1.32476E-08
4.181766987,1.32476E-08
4.181766987,1.32476E-08
4.181766987,1.32476E-08
4.181604862,1.32476E-08
4.181604862,1.32476E-08
4.181442738,1.32476E-08
4.181604862,1.32476E-08
4.181604862,1.32476E-08
4.181442738,1.32476E-08
4.181604862,1.32476E-08
4.181442738,1.32476E-08
4.181604862,1.32476E-08
4.181280613,1.32476E-08
4.181280613,1.32476E-08
4.181118488,1.32476E-08
4.181280613,1.32476E-08
4.181442738,1.32476E-08
4.181118488,1.32476E-08
4.181118488,1.32476E-08
4.181118488,1.32476E-08
4.181118488,1.32476E-08
4.181118488,1.32476E-08
4.181118488,1.32476E-08
4.181280613,1.32476E-08
4.180956841,1.32476E-08
4.180956841,1.32476E-08
4.181118488,1.32476E-08
4.180956841,1.32476E-08
4.180956841,1.32476E-08
4.180794716,1.32476E-08
4.180956841,1.32476E-08
4.180794716,1.32476E-08
4.180794716,1.32476E-08
4.180956841,1.32476E-08
4.180632591,1.32476E-08
4.180794716,1.32476E-08
4.180794716,1.32476E-08
4.180794716,1.32476E-08
4.180632591,1.32476E-08
4.180470467,1.32476E-08
4.180632591,1.32476E-08
4.180632591,1.32476E-08
4.180470467,1.32476E-08
4.180632591,1.32476E-08
4.180632591,1.32476E-08
4.180632591,1.32476E-08
4.180632591,1.32476E-08
4.180632591,1.32476E-08
4.180632591,1.32476E-08
4.180470467,1.32476E-08
4.180470467,1.32476E-08
4.180470467,1.32476E-08
4.180470467,1.32476E-08
4.180470467,1.32476E-08
4.180308342,1.32476E-08
4.180308342,1.32476E-08
4.180470467,1.32476E-08
4.180308342,1.32476E-08
4.180308342,1.32476E-08
4.180470467,1.32476E-08
4.180308342,1.32476E-08
4.180308342,1.32476E-08
4.180308342,1.32476E-08
4.180308342,1.32476E-08
4.180146217,1.32476E-08
4.180308342,1.32476E-08
4.180308342,1.32476E-08
4.180146217,1.32476E-08
4.179984093,1.32476E-08
4.180470467,1.32476E-08
4.180308342,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.180146217,1.32476E-08
4.179984093,1.32476E-08
4.180146217,1.32476E-08
4.180308342,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.180146217,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.179984093,1.32476E-08
4.180146217,1.32476E-08
4.179822445,1.32476E-08
4.179822445,1.32476E-08
4.179822445,1.32476E-08
4.179822445,1.32476E-08
4.179822445,1.32476E-08
4.179822445,1.32476E-08
4.179822445,1.32476E-08
4.17966032,1.32476E-08
4.179822445,1.32476E-08
4.179984093,1.32476E-08
4.17966032,1.32476E-08
4.17966032,1.32476E-08
4.179822445,1.32476E-08
4.17966032,1.32476E-08
4.179822445,1.32476E-08
4.17966032,1.32476E-08
4.17966032,1.32476E-08
4.179498196,1.32476E-08
4.17966032,1.32476E-08
4.17966032,1.32476E-08
4.179498196,1.32476E-08
4.17966032,1.32476E-08
4.179498196,1.32476E-08
4.179498196,1.32476E-08
4.179822445,1.32476E-08
4.179498196,1.32476E-08
4.179336071,1.32476E-08
4.179498196,1.32476E-08
4.17966032,1.32476E-08
4.17966032,1.32476E-08
4.179336071,1.32476E-08
4.179498196,1.32476E-08
4.179498196,1.32476E-08
4.179498196,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179498196,1.32476E-08
4.179498196,1.32476E-08
4.179498196,1.32476E-08
4.179336071,1.32476E-08
4.179498196,1.32476E-08
4.17966032,1.32476E-08
4.179498196,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179336071,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179336071,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179011822,1.32476E-08
4.179173946,1.32476E-08
4.179011822,1.32476E-08
4.179011822,1.32476E-08
4.179011822,1.32476E-08
4.179011822,1.32476E-08
4.179011822,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179011822,1.32476E-08
4.179173946,1.32476E-08
4.179011822,1.32476E-08
4.179011822,1.32476E-08
4.179173946,1.32476E-08
4.179173946,1.32476E-08
4.179011822,1.32476E-08
4.179011822,1.32476E-08
4.179011822,1.32476E-08
4.178849697,1.32476E-08
4.179011822,1.32476E-08
4.178849697,1.32476E-08
4.178849697,1.32476E-08
4.178849697,1.32476E-08
4.179011822,1.32476E-08
4.178849697,1.32476E-08
4.178849697,1.32476E-08
4.179011822,1.32476E-08
4.179011822,1.32476E-08
4.178849697,1.32476E-08
4.179011822,1.32476E-08
4.178849697,1.32476E-08
4.178849697,1.32476E-08
4.178849697,1.32476E-08
4.178849697,1.32476E-08
4.178849697,1.32476E-08
4.178688049,1.32476E-08
4.178849697,1.32476E-08
4.178688049,1.32476E-08
4.178688049,1.32476E-08
4.178849697,1.32476E-08
4.178688049,1.32476E-08
4.178849697,1.32476E-08
4.178849697,1.32476E-08
4.178688049,1.32476E-08
4.178849697,1.32476E-08
4.178688049,1.32476E-08
4.178688049,1.32476E-08
4.178688049,1.32476E-08
4.178688049,1.32476E-08
4.178849697,1.32476E-08
4.178688049,1.32476E-08
4.178688049,1.32476E-08
4.178688049,1.32476E-08
4.178525925,1.32476E-08
4.178525925,1.32476E-08
4.178525925,1.32476E-08
4.178688049,1.32476E-08
4.178849697,1.32476E-08
4.178688049,1.32476E-08
